LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000244,Barnet 032D,E09000003,Barnet,15.6,18293,6
E01000245,Barnet 032E,E09000003,Barnet,24.1,11312,4
E01000246,Barnet 002B,E09000003,Barnet,10.6,23751,8
E01000247,Barnet 002C,E09000003,Barnet,10.1,24330,8
E01000248,Barnet 001A,E09000003,Barnet,7.3,27938,9
E01000249,Barnet 001B,E09000003,Barnet,5.9,29613,10
E01000250,Barnet 001C,E09000003,Barnet,13.0,21023,7
E01000251,Barnet 002D,E09000003,Barnet,18.9,15365,5
E01000252,Barnet 002E,E09000003,Barnet,13.4,20654,7
E01000253,Barnet 007B,E09000003,Barnet,9.4,25200,8
E01000254,Barnet 001D,E09000003,Barnet,7.8,27346,9
E01000255,Barnet 017A,E09000003,Barnet,18.7,15471,5
E01000256,Barnet 016A,E09000003,Barnet,10.6,23742,8
E01000257,Barnet 017B,E09000003,Barnet,25.0,10770,4
E01000258,Barnet 016B,E09000003,Barnet,9.2,25595,8
E01000259,Barnet 025D,E09000003,Barnet,13.4,20665,7
E01000260,Barnet 025E,E09000003,Barnet,19.9,14473,5
E01000261,Barnet 017C,E09000003,Barnet,7.6,27512,9
E01000262,Barnet 017D,E09000003,Barnet,11.6,22595,7
E01000263,Barnet 016C,E09000003,Barnet,5.9,29609,10
E01000264,Barnet 016D,E09000003,Barnet,16.5,17488,6
E01000265,Barnet 011A,E09000003,Barnet,15.1,18822,6
E01000266,Barnet 011B,E09000003,Barnet,8.0,27042,9
E01000267,Barnet 005A,E09000003,Barnet,12.8,21327,7
E01000268,Barnet 005B,E09000003,Barnet,15.3,18670,6
E01000269,Barnet 005C,E09000003,Barnet,10.4,23965,8
E01000270,Barnet 005D,E09000003,Barnet,12.0,22199,7
E01000271,Barnet 008A,E09000003,Barnet,6.6,28725,9
E01000272,Barnet 008B,E09000003,Barnet,4.8,30661,10
E01000273,Barnet 008C,E09000003,Barnet,14.1,19790,7
E01000274,Barnet 011C,E09000003,Barnet,15.6,18373,6
E01000275,Barnet 012A,E09000003,Barnet,13.5,20490,7
E01000276,Barnet 020A,E09000003,Barnet,4.1,31443,10
E01000277,Barnet 012B,E09000003,Barnet,18.2,15935,5
E01000278,Barnet 020B,E09000003,Barnet,5.5,29998,10
E01000279,Barnet 007C,E09000003,Barnet,9.0,25843,8
E01000280,Barnet 007D,E09000003,Barnet,4.0,31544,10
E01000281,Barnet 008D,E09000003,Barnet,10.9,23416,8
E01000282,Barnet 008E,E09000003,Barnet,8.6,26321,9
E01000283,Barnet 012C,E09000003,Barnet,4.6,30858,10
E01000284,Barnet 012D,E09000003,Barnet,15.5,18467,6
E01000285,Barnet 004A,E09000003,Barnet,15.1,18783,6
E01000286,Barnet 007E,E09000003,Barnet,23.9,11433,4
E01000287,Barnet 004B,E09000003,Barnet,22.7,12242,4
E01000288,Barnet 004C,E09000003,Barnet,13.0,21005,7
E01000289,Barnet 004D,E09000003,Barnet,38.3,4786,2
E01000290,Barnet 007F,E09000003,Barnet,19.9,14405,5
E01000291,Barnet 004E,E09000003,Barnet,32.9,6697,3
E01000292,Barnet 001E,E09000003,Barnet,11.3,22974,7
E01000293,Barnet 001F,E09000003,Barnet,7.6,27550,9
E01000294,Barnet 004F,E09000003,Barnet,12.2,21893,7
E01000295,Barnet 023B,E09000003,Barnet,13.3,20731,7
E01000296,Barnet 023C,E09000003,Barnet,12.1,22036,7
E01000297,Barnet 027D,E09000003,Barnet,9.0,25783,8
E01000298,Barnet 023D,E09000003,Barnet,11.8,22372,7
E01000299,Barnet 019A,E09000003,Barnet,17.0,16989,6
E01000300,Barnet 019B,E09000003,Barnet,12.3,21880,7
E01000301,Barnet 020C,E09000003,Barnet,7.1,28246,9
E01000302,Barnet 019C,E09000003,Barnet,15.6,18360,6
E01000303,Barnet 020D,E09000003,Barnet,6.8,28555,9
E01000304,Barnet 020E,E09000003,Barnet,13.5,20455,7
E01000305,Barnet 036B,E09000003,Barnet,27.9,9115,3
E01000306,Barnet 036C,E09000003,Barnet,14.0,19906,7
E01000307,Barnet 039D,E09000003,Barnet,23.3,11835,4
E01000308,Barnet 036D,E09000003,Barnet,31.8,7151,3
E01000309,Barnet 031D,E09000003,Barnet,13.9,20046,7
E01000310,Barnet 034C,E09000003,Barnet,19.2,15067,5
E01000311,Barnet 034D,E09000003,Barnet,11.1,23246,8
E01000312,Barnet 036E,E09000003,Barnet,24.9,10806,4
E01000313,Barnet 036F,E09000003,Barnet,19.9,14409,5
E01000314,Barnet 032F,E09000003,Barnet,10.7,23679,8
E01000315,Barnet 022F,E09000003,Barnet,32.7,6785,3
E01000316,Barnet 027E,E09000003,Barnet,19.9,14454,5
E01000317,Barnet 019D,E09000003,Barnet,10.9,23497,8
E01000318,Barnet 019E,E09000003,Barnet,14.7,19218,6
E01000319,Barnet 027F,E09000003,Barnet,9.9,24628,8
E01000320,Barnet 011D,E09000003,Barnet,8.7,26150,8
E01000321,Barnet 012E,E09000003,Barnet,14.4,19535,6
E01000322,Barnet 011E,E09000003,Barnet,14.9,19048,6
E01000323,Barnet 019F,E09000003,Barnet,18.8,15389,5
E01000324,Barnet 015F,E09000003,Barnet,13.8,20202,7
E01033572,Barnet 030E,E09000003,Barnet,22.2,12628,4
E01033573,Barnet 030F,E09000003,Barnet,17.9,16181,5
E01000325,Bexley 014A,E09000004,Bexley,5.9,29599,10
E01000326,Bexley 014B,E09000004,Bexley,12.0,22206,7
E01000327,Bexley 017A,E09000004,Bexley,7.7,27457,9
E01000328,Bexley 017B,E09000004,Bexley,11.4,22853,7
E01000329,Bexley 017C,E09000004,Bexley,15.9,18060,6
E01000330,Bexley 017D,E09000004,Bexley,17.9,16254,5
E01000331,Bexley 017E,E09000004,Bexley,28.3,8888,3
E01000332,Bexley 005A,E09000004,Bexley,16.1,17857,6
E01000333,Bexley 003A,E09000004,Bexley,25.9,10270,4
E01000334,Bexley 006A,E09000004,Bexley,13.0,21066,7
E01000335,Bexley 003B,E09000004,Bexley,31.7,7186,3
E01000336,Bexley 003C,E09000004,Bexley,31.4,7373,3
E01000337,Bexley 003D,E09000004,Bexley,19.6,14747,5
E01000338,Bexley 003E,E09000004,Bexley,18.9,15333,5
E01000339,Bexley 025A,E09000004,Bexley,16.3,17653,6
E01000340,Bexley 018A,E09000004,Bexley,12.8,21230,7
E01000341,Bexley 022A,E09000004,Bexley,8.9,25941,8
E01000342,Bexley 022B,E09000004,Bexley,8.9,25891,8
E01000343,Bexley 022C,E09000004,Bexley,8.3,26633,9
E01000344,Bexley 025B,E09000004,Bexley,6.1,29332,9
E01000345,Bexley 022D,E09000004,Bexley,6.3,29145,9
E01000346,Bexley 021A,E09000004,Bexley,9.7,24927,8
E01000347,Bexley 021B,E09000004,Bexley,11.2,23128,8
E01000348,Bexley 020A,E09000004,Bexley,5.0,30525,10
E01000349,Bexley 020B,E09000004,Bexley,7.5,27736,9
E01000350,Bexley 021C,E09000004,Bexley,7.9,27197,9
E01000351,Bexley 024A,E09000004,Bexley,7.6,27580,9
E01000352,Bexley 021D,E09000004,Bexley,14.8,19159,6
E01000353,Bexley 011A,E09000004,Bexley,5.2,30316,10
E01000354,Bexley 011B,E09000004,Bexley,21.3,13302,5
E01000355,Bexley 011C,E09000004,Bexley,8.2,26842,9
E01000356,Bexley 009A,E09000004,Bexley,7.9,27128,9
E01000357,Bexley 009B,E09000004,Bexley,4.1,31429,10
E01000358,Bexley 011D,E09000004,Bexley,6.2,29282,9
E01000359,Bexley 009C,E09000004,Bexley,6.2,29254,9
E01000360,Bexley 015A,E09000004,Bexley,18.7,15534,5
E01000361,Bexley 020C,E09000004,Bexley,11.3,23027,8
E01000362,Bexley 015B,E09000004,Bexley,12.6,21457,7
E01000363,Bexley 020D,E09000004,Bexley,9.3,25379,8
E01000364,Bexley 023A,E09000004,Bexley,12.7,21389,7
E01000365,Bexley 015C,E09000004,Bexley,14.4,19555,6
E01000366,Bexley 015D,E09000004,Bexley,9.9,24683,8
E01000367,Bexley 010A,E09000004,Bexley,30.9,7599,3
E01000368,Bexley 010B,E09000004,Bexley,33.9,6298,2
