LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01002738,Islington 009A,E09000019,Islington,24.7,10960,4
E01002739,Islington 013A,E09000019,Islington,17.4,16660,6
E01002740,Islington 013B,E09000019,Islington,16.1,17843,6
E01002741,Islington 009B,E09000019,Islington,34.8,5946,2
E01002742,Islington 006A,E09000019,Islington,15.8,18132,6
E01002743,Islington 009C,E09000019,Islington,19.1,15181,5
E01002744,Islington 009D,E09000019,Islington,17.9,16228,5
E01002745,Islington 013C,E09000019,Islington,15.8,18128,6
E01002747,Islington 006B,E09000019,Islington,13.3,20714,7
E01002748,Islington 006C,E09000019,Islington,39.9,4293,2
E01002749,Islington 006D,E09000019,Islington,22.8,12160,4
E01002751,Islington 005E,E09000019,Islington,38.0,4870,2
E01002752,Islington 009E,E09000019,Islington,22.4,12440,4
E01002753,Islington 002A,E09000019,Islington,29.4,8283,3
E01002754,Islington 002B,E09000019,Islington,16.4,17536,6
E01002755,Islington 001A,E09000019,Islington,39.9,4303,2
E01002756,Islington 001B,E09000019,Islington,27.8,9162,3
E01002757,Islington 002C,E09000019,Islington,24.1,11321,4
E01002758,Islington 001C,E09000019,Islington,44.1,3231,1
E01002759,Islington 002D,E09000019,Islington,20.6,13811,5
E01002760,Islington 002E,E09000019,Islington,38.8,4631,2
E01002762,Islington 011C,E09000019,Islington,20.7,13764,5
E01002763,Islington 007D,E09000019,Islington,33.1,6622,3
E01002764,Islington 010A,E09000019,Islington,30.9,7581,3
E01002765,Islington 015D,E09000019,Islington,28.2,8909,3
E01002766,Islington 015E,E09000019,Islington,31.6,7264,3
E01002767,Islington 011D,E09000019,Islington,36.8,5275,2
E01002768,Islington 004A,E09000019,Islington,29.3,8350,3
E01002769,Islington 008A,E09000019,Islington,20.1,14242,5
E01002770,Islington 004B,E09000019,Islington,30.0,8029,3
E01002771,Islington 004C,E09000019,Islington,27.3,9390,3
E01002772,Islington 002F,E09000019,Islington,28.7,8637,3
E01002773,Islington 004D,E09000019,Islington,50.1,2164,1
E01002774,Islington 004E,E09000019,Islington,30.9,7608,3
E01002775,Islington 014D,E09000019,Islington,22.2,12620,4
E01002776,Islington 014E,E09000019,Islington,32.1,7029,3
E01002777,Islington 012A,E09000019,Islington,27.6,9255,3
E01002778,Islington 012B,E09000019,Islington,39.1,4551,2
E01002779,Islington 012C,E09000019,Islington,18.6,15584,5
E01002780,Islington 014F,E09000019,Islington,26.4,9965,4
E01002781,Islington 012D,E09000019,Islington,28.9,8526,3
E01002782,Islington 012E,E09000019,Islington,37.2,5157,2
E01002783,Islington 010B,E09000019,Islington,46.5,2766,1
E01002784,Islington 010C,E09000019,Islington,34.3,6145,2
E01002785,Islington 008B,E09000019,Islington,18.9,15334,5
E01002786,Islington 010D,E09000019,Islington,36.1,5495,2
E01002787,Islington 010E,E09000019,Islington,32.1,7051,3
E01002788,Islington 008C,E09000019,Islington,17.0,17004,6
E01002789,Islington 008D,E09000019,Islington,13.7,20257,7
E01002790,Islington 016D,E09000019,Islington,42.3,3653,2
E01002791,Islington 016E,E09000019,Islington,13.9,20072,7
E01002792,Islington 017E,E09000019,Islington,16.1,17852,6
E01002793,Islington 016F,E09000019,Islington,36.2,5450,2
E01002794,Islington 020B,E09000019,Islington,22.2,12607,4
E01002795,Islington 013D,E09000019,Islington,25.0,10755,4
E01002796,Islington 013E,E09000019,Islington,23.6,11641,4
E01002797,Islington 018B,E09000019,Islington,32.1,7039,3
E01002798,Islington 018C,E09000019,Islington,21.5,13193,5
E01002799,Islington 018D,E09000019,Islington,32.3,6972,3
E01002800,Islington 018E,E09000019,Islington,38.9,4590,2
E01002801,Islington 020C,E09000019,Islington,16.9,17133,6
E01002802,Islington 020D,E09000019,Islington,25.9,10255,4
E01002803,Islington 020E,E09000019,Islington,23.8,11531,4
E01002804,Islington 001D,E09000019,Islington,37.4,5087,2
E01002805,Islington 003B,E09000019,Islington,22.8,12161,4
E01002806,Islington 003C,E09000019,Islington,27.0,9620,3
E01002807,Islington 001E,E09000019,Islington,31.6,7258,3
E01002808,Islington 003D,E09000019,Islington,24.6,10985,4
E01002809,Islington 003E,E09000019,Islington,31.4,7327,3
E01002810,Islington 003F,E09000019,Islington,33.3,6536,2
E01002811,Islington 001F,E09000019,Islington,38.6,4691,2
E01033486,Islington 011E,E09000019,Islington,37.6,5005,2
E01033487,Islington 011F,E09000019,Islington,10.7,23623,8
E01033488,Islington 011G,E09000019,Islington,33.0,6677,3
E01033489,Islington 022G,E09000019,Islington,12.5,21648,7
E01033490,Islington 022H,E09000019,Islington,19.6,14740,5
E01033491,Islington 011H,E09000019,Islington,29.1,8440,3
E01033492,Islington 011I,E09000019,Islington,30.0,8006,3
E01033493,Islington 006F,E09000019,Islington,11.7,22483,7
E01033494,Islington 006G,E09000019,Islington,16.6,17374,6
E01002812,Kensington and Chelsea 013A,E09000020,Kensington and Chelsea,11.5,22698,7
E01002813,Kensington and Chelsea 011A,E09000020,Kensington and Chelsea,10.1,24398,8
E01002814,Kensington and Chelsea 015A,E09000020,Kensington and Chelsea,25.0,10748,4
E01002815,Kensington and Chelsea 011B,E09000020,Kensington and Chelsea,18.3,15885,5
E01002816,Kensington and Chelsea 011C,E09000020,Kensington and Chelsea,11.5,22718,7
E01002817,Kensington and Chelsea 011D,E09000020,Kensington and Chelsea,10.4,24015,8
E01002818,Kensington and Chelsea 012A,E09000020,Kensington and Chelsea,12.7,21429,7
E01002819,Kensington and Chelsea 012B,E09000020,Kensington and Chelsea,11.1,23245,8
E01002820,Kensington and Chelsea 016A,E09000020,Kensington and Chelsea,9.6,25054,8
E01002821,Kensington and Chelsea 014A,E09000020,Kensington and Chelsea,10.9,23418,8
E01002822,Kensington and Chelsea 016B,E09000020,Kensington and Chelsea,12.9,21201,7
E01002823,Kensington and Chelsea 014B,E09000020,Kensington and Chelsea,28.4,8812,3
E01002824,Kensington and Chelsea 008A,E09000020,Kensington and Chelsea,10.0,24462,8
E01002825,Kensington and Chelsea 008B,E09000020,Kensington and Chelsea,9.7,24885,8
E01002826,Kensington and Chelsea 008C,E09000020,Kensington and Chelsea,10.8,23594,8
E01002827,Kensington and Chelsea 008D,E09000020,Kensington and Chelsea,12.1,22084,7
E01002828,Kensington and Chelsea 008E,E09000020,Kensington and Chelsea,16.2,17715,6
E01002829,Kensington and Chelsea 004A,E09000020,Kensington and Chelsea,34.5,6055,2
E01002830,Kensington and Chelsea 004B,E09000020,Kensington and Chelsea,35.4,5764,2
E01002831,Kensington and Chelsea 004C,E09000020,Kensington and Chelsea,36.7,5299,2
E01002832,Kensington and Chelsea 004D,E09000020,Kensington and Chelsea,31.4,7367,3
E01002833,Kensington and Chelsea 007A,E09000020,Kensington and Chelsea,19.2,15083,5
E01002834,Kensington and Chelsea 013B,E09000020,Kensington and Chelsea,15.6,18346,6
E01002835,Kensington and Chelsea 016C,E09000020,Kensington and Chelsea,10.5,23929,8
E01002836,Kensington and Chelsea 016D,E09000020,Kensington and Chelsea,11.1,23221,8
E01002837,Kensington and Chelsea 016E,E09000020,Kensington and Chelsea,13.1,20942,7
E01002838,Kensington and Chelsea 020A,E09000020,Kensington and Chelsea,11.1,23203,8
E01002839,Kensington and Chelsea 013C,E09000020,Kensington and Chelsea,25.8,10320,4
E01002840,Kensington and Chelsea 021A,E09000020,Kensington and Chelsea,37.7,4981,2
E01002841,Kensington and Chelsea 021B,E09000020,Kensington and Chelsea,26.5,9898,4
E01002842,Kensington and Chelsea 021C,E09000020,Kensington and Chelsea,47.4,2593,1
E01002843,Kensington and Chelsea 021D,E09000020,Kensington and Chelsea,42.6,3564,2
E01002844,Kensington and Chelsea 019A,E09000020,Kensington and Chelsea,17.0,16966,6
E01002845,Kensington and Chelsea 019B,E09000020,Kensington and Chelsea,21.0,13544,5
E01002846,Kensington and Chelsea 017A,E09000020,Kensington and Chelsea,30.9,7626,3
E01002847,Kensington and Chelsea 015B,E09000020,Kensington and Chelsea,22.1,12666,4
E01002848,Kensington and Chelsea 015C,E09000020,Kensington and Chelsea,29.5,8243,3
E01002849,Kensington and Chelsea 017B,E09000020,Kensington and Chelsea,17.2,16808,6
E01002850,Kensington and Chelsea 013D,E09000020,Kensington and Chelsea,23.7,11573,4
E01002851,Kensington and Chelsea 015D,E09000020,Kensington and Chelsea,39.8,4330,2
E01002852,Kensington and Chelsea 001A,E09000020,Kensington and Chelsea,41.7,3797,2
E01002853,Kensington and Chelsea 001B,E09000020,Kensington and Chelsea,57.1,1212,1
E01002854,Kensington and Chelsea 001C,E09000020,Kensington and Chelsea,45.1,3030,1
E01002855,Kensington and Chelsea 001D,E09000020,Kensington and Chelsea,45.5,2975,1
E01002856,Kensington and Chelsea 004E,E09000020,Kensington and Chelsea,37.8,4928,2
E01002857,Kensington and Chelsea 001E,E09000020,Kensington and Chelsea,59.0,1012,1
E01002858,Kensington and Chelsea 014C,E09000020,Kensington and Chelsea,23.4,11753,4
E01002859,Kensington and Chelsea 012C,E09000020,Kensington and Chelsea,10.2,24280,8
E01002860,Kensington and Chelsea 012D,E09000020,Kensington and Chelsea,11.4,22839,7
E01002861,Kensington and Chelsea 014D,E09000020,Kensington and Chelsea,15.0,18886,6
E01002862,Kensington and Chelsea 014E,E09000020,Kensington and Chelsea,26.0,10169,4
E01002863,Kensington and Chelsea 012E,E09000020,Kensington and Chelsea,9.9,24615,8
E01002864,Kensington and Chelsea 009A,E09000020,Kensington and Chelsea,9.5,25115,8
E01002865,Kensington and Chelsea 011E,E09000020,Kensington and Chelsea,7.3,27993,9
E01002866,Kensington and Chelsea 009B,E09000020,Kensington and Chelsea,20.7,13786,5
E01002867,Kensington and Chelsea 009C,E09000020,Kensington and Chelsea,22.3,12519,4
E01002868,Kensington and Chelsea 009D,E09000020,Kensington and Chelsea,9.3,25448,8
E01002869,Kensington and Chelsea 009E,E09000020,Kensington and Chelsea,19.7,14640,5
E01002870,Kensington and Chelsea 005A,E09000020,Kensington and Chelsea,41.4,3890,2
E01002871,Kensington and Chelsea 007B,E09000020,Kensington and Chelsea,11.3,22944,7
E01002872,Kensington and Chelsea 005B,E09000020,Kensington and Chelsea,38.9,4605,2
E01002873,Kensington and Chelsea 007C,E09000020,Kensington and Chelsea,19.8,14480,5
E01002874,Kensington and Chelsea 007D,E09000020,Kensington and Chelsea,20.0,14325,5
E01002875,Kensington and Chelsea 007E,E09000020,Kensington and Chelsea,14.9,18986,6
E01002876,Kensington and Chelsea 003A,E09000020,Kensington and Chelsea,20.1,14225,5
E01002877,Kensington and Chelsea 003B,E09000020,Kensington and Chelsea,41.2,3925,2
E01002878,Kensington and Chelsea 003C,E09000020,Kensington and Chelsea,33.9,6319,2
E01002879,Kensington and Chelsea 005C,E09000020,Kensington and Chelsea,41.7,3808,2
E01002880,Kensington and Chelsea 005D,E09000020,Kensington and Chelsea,44.2,3215,1
E01002881,Kensington and Chelsea 005E,E09000020,Kensington and Chelsea,40.5,4113,2
E01002882,Kensington and Chelsea 006A,E09000020,Kensington and Chelsea,17.1,16904,6
E01002883,Kensington and Chelsea 006B,E09000020,Kensington and Chelsea,11.7,22472,7
E01002884,Kensington and Chelsea 006C,E09000020,Kensington and Chelsea,21.6,13100,4
E01002885,Kensington and Chelsea 006D,E09000020,Kensington and Chelsea,19.6,14695,5
E01002886,Kensington and Chelsea 006E,E09000020,Kensington and Chelsea,14.8,19099,6
E01002887,Kensington and Chelsea 010A,E09000020,Kensington and Chelsea,12.6,21530,7
E01002888,Kensington and Chelsea 013E,E09000020,Kensington and Chelsea,10.9,23449,8
E01002889,Kensington and Chelsea 010B,E09000020,Kensington and Chelsea,8.2,26867,9
E01002890,Kensington and Chelsea 010C,E09000020,Kensington and Chelsea,9.0,25832,8
E01002891,Kensington and Chelsea 010D,E09000020,Kensington and Chelsea,9.5,25103,8
E01002892,Kensington and Chelsea 010E,E09000020,Kensington and Chelsea,8.5,26365,9
E01002893,Kensington and Chelsea 017C,E09000020,Kensington and Chelsea,21.8,12935,4
E01002894,Kensington and Chelsea 017D,E09000020,Kensington and Chelsea,19.9,14414,5
E01002895,Kensington and Chelsea 020B,E09000020,Kensington and Chelsea,11.2,23084,8
E01002896,Kensington and Chelsea 020C,E09000020,Kensington and Chelsea,10.3,24135,8
E01002897,Kensington and Chelsea 020D,E09000020,Kensington and Chelsea,15.7,18277,6
E01002898,Kensington and Chelsea 017E,E09000020,Kensington and Chelsea,9.5,25185,8
E01002899,Kensington and Chelsea 018A,E09000020,Kensington and Chelsea,21.5,13213,5
E01002900,Kensington and Chelsea 018B,E09000020,Kensington and Chelsea,8.3,26730,9
E01002901,Kensington and Chelsea 018C,E09000020,Kensington and Chelsea,16.5,17464,6
E01002902,Kensington and Chelsea 018D,E09000020,Kensington and Chelsea,10.8,23591,8
E01002903,Kensington and Chelsea 018E,E09000020,Kensington and Chelsea,7.6,27528,9
E01002904,Kensington and Chelsea 002A,E09000020,Kensington and Chelsea,45.1,3043,1
E01002905,Kensington and Chelsea 002B,E09000020,Kensington and Chelsea,44.5,3154,1
E01002906,Kensington and Chelsea 002C,E09000020,Kensington and Chelsea,33.0,6647,3
E01002907,Kensington and Chelsea 002D,E09000020,Kensington and Chelsea,52.6,1794,1
E01002908,Kensington and Chelsea 003D,E09000020,Kensington and Chelsea,26.9,9637,3
E01002909,Kensington and Chelsea 003E,E09000020,Kensington and Chelsea,29.7,8155,3
E01002910,Kensington and Chelsea 019C,E09000020,Kensington and Chelsea,16.3,17632,6
E01002911,Kensington and Chelsea 019D,E09000020,Kensington and Chelsea,12.5,21556,7
E01002912,Kensington and Chelsea 020E,E09000020,Kensington and Chelsea,13.9,20040,7
E01002913,Kensington and Chelsea 021E,E09000020,Kensington and Chelsea,18.0,16091,5
E01002914,Kensington and Chelsea 019E,E09000020,Kensington and Chelsea,8.9,25957,8
E01002915,Kingston upon Thames 014A,E09000021,Kingston upon Thames,8.1,26998,9
E01002916,Kingston upon Thames 014B,E09000021,Kingston upon Thames,8.2,26782,9
E01002917,Kingston upon Thames 014C,E09000021,Kingston upon Thames,4.1,31433,10
E01002918,Kingston upon Thames 017A,E09000021,Kingston upon Thames,12.2,21946,7
E01002919,Kingston upon Thames 017B,E09000021,Kingston upon Thames,15.6,18341,6
E01002920,Kingston upon Thames 014D,E09000021,Kingston upon Thames,5.1,30459,10
E01002921,Kingston upon Thames 011A,E09000021,Kingston upon Thames,15.2,18698,6
E01002922,Kingston upon Thames 010A,E09000021,Kingston upon Thames,9.1,25712,8
E01002923,Kingston upon Thames 013A,E09000021,Kingston upon Thames,30.1,7999,3
E01002924,Kingston upon Thames 014E,E09000021,Kingston upon Thames,3.3,32012,10
E01002925,Kingston upon Thames 013B,E09000021,Kingston upon Thames,11.5,22790,7
E01002926,Kingston upon Thames 010B,E09000021,Kingston upon Thames,7.4,27879,9
E01002927,Kingston upon Thames 008A,E09000021,Kingston upon Thames,12.6,21448,7
E01002928,Kingston upon Thames 008B,E09000021,Kingston upon Thames,16.6,17328,6
E01002929,Kingston upon Thames 007A,E09000021,Kingston upon Thames,8.8,26011,8
E01002930,Kingston upon Thames 007B,E09000021,Kingston upon Thames,11.1,23273,8
E01002931,Kingston upon Thames 007C,E09000021,Kingston upon Thames,11.5,22804,7
E01002932,Kingston upon Thames 006A,E09000021,Kingston upon Thames,26.6,9799,3
E01002933,Kingston upon Thames 004A,E09000021,Kingston upon Thames,15.4,18511,6
E01002934,Kingston upon Thames 004B,E09000021,Kingston upon Thames,3.7,31781,10
E01002935,Kingston upon Thames 003A,E09000021,Kingston upon Thames,8.2,26771,9
E01002937,Kingston upon Thames 004D,E09000021,Kingston upon Thames,5.1,30452,10
E01002938,Kingston upon Thames 003B,E09000021,Kingston upon Thames,4.8,30727,10
E01002939,Kingston upon Thames 018A,E09000021,Kingston upon Thames,12.8,21310,7
E01002940,Kingston upon Thames 020A,E09000021,Kingston upon Thames,18.1,16076,5
E01002941,Kingston upon Thames 018B,E09000021,Kingston upon Thames,9.4,25233,8
E01002942,Kingston upon Thames 018C,E09000021,Kingston upon Thames,10.8,23570,8
E01002943,Kingston upon Thames 020B,E09000021,Kingston upon Thames,16.8,17230,6
E01002944,Kingston upon Thames 019A,E09000021,Kingston upon Thames,13.4,20667,7
E01002945,Kingston upon Thames 019B,E09000021,Kingston upon Thames,9.1,25677,8
E01002946,Kingston upon Thames 019C,E09000021,Kingston upon Thames,8.7,26145,8
E01002947,Kingston upon Thames 019D,E09000021,Kingston upon Thames,7.3,27952,9
E01002948,Kingston upon Thames 020C,E09000021,Kingston upon Thames,17.9,16244,5
E01002949,Kingston upon Thames 020D,E09000021,Kingston upon Thames,9.7,24825,8
E01002950,Kingston upon Thames 020E,E09000021,Kingston upon Thames,18.0,16145,5
E01002951,Kingston upon Thames 003C,E09000021,Kingston upon Thames,5.4,30100,10
E01002952,Kingston upon Thames 002A,E09000021,Kingston upon Thames,6.3,29133,9
E01002953,Kingston upon Thames 002B,E09000021,Kingston upon Thames,7.1,28241,9
E01002954,Kingston upon Thames 003D,E09000021,Kingston upon Thames,12.2,21932,7
E01002955,Kingston upon Thames 002C,E09000021,Kingston upon Thames,14.3,19611,6
E01002956,Kingston upon Thames 002D,E09000021,Kingston upon Thames,7.3,27909,9
E01002957,Kingston upon Thames 003E,E09000021,Kingston upon Thames,14.3,19621,6
E01002958,Kingston upon Thames 008C,E09000021,Kingston upon Thames,6.8,28518,9
E01002959,Kingston upon Thames 002E,E09000021,Kingston upon Thames,3.1,32171,10
E01002960,Kingston upon Thames 006B,E09000021,Kingston upon Thames,6.1,29368,9
E01002961,Kingston upon Thames 008D,E09000021,Kingston upon Thames,7.4,27855,9
E01002962,Kingston upon Thames 006C,E09000021,Kingston upon Thames,12.9,21110,7
E01002963,Kingston upon Thames 007D,E09000021,Kingston upon Thames,9.9,24659,8
E01002964,Kingston upon Thames 005A,E09000021,Kingston upon Thames,17.3,16736,6
E01002965,Kingston upon Thames 009A,E09000021,Kingston upon Thames,13.0,21096,7
E01002966,Kingston upon Thames 010C,E09000021,Kingston upon Thames,9.5,25187,8
E01002967,Kingston upon Thames 009B,E09000021,Kingston upon Thames,5.3,30191,10
E01002968,Kingston upon Thames 009C,E09000021,Kingston upon Thames,14.5,19427,6
E01002969,Kingston upon Thames 005B,E09000021,Kingston upon Thames,40.9,4000,2
E01002970,Kingston upon Thames 006D,E09000021,Kingston upon Thames,21.2,13439,5
E01002971,Kingston upon Thames 005C,E09000021,Kingston upon Thames,12.4,21686,7
E01002972,Kingston upon Thames 005D,E09000021,Kingston upon Thames,13.6,20357,7
E01002973,Kingston upon Thames 006E,E09000021,Kingston upon Thames,23.1,11982,4
E01002974,Kingston upon Thames 005E,E09000021,Kingston upon Thames,13.9,20020,7
E01002975,Kingston upon Thames 012A,E09000021,Kingston upon Thames,12.1,22021,7
E01002976,Kingston upon Thames 015A,E09000021,Kingston upon Thames,8.1,26898,9
E01002977,Kingston upon Thames 012B,E09000021,Kingston upon Thames,18.4,15741,5
E01002978,Kingston upon Thames 015B,E09000021,Kingston upon Thames,7.4,27790,9
E01002979,Kingston upon Thames 015C,E09000021,Kingston upon Thames,9.5,25153,8
E01002980,Kingston upon Thames 012C,E09000021,Kingston upon Thames,7.4,27764,9
E01002981,Kingston upon Thames 012D,E09000021,Kingston upon Thames,11.9,22235,7
E01002982,Kingston upon Thames 015D,E09000021,Kingston upon Thames,13.6,20323,7
E01002983,Kingston upon Thames 015E,E09000021,Kingston upon Thames,7.4,27807,9
E01002984,Kingston upon Thames 012E,E09000021,Kingston upon Thames,17.2,16828,6
E01002985,Kingston upon Thames 007E,E09000021,Kingston upon Thames,11.8,22446,7
E01002986,Kingston upon Thames 008E,E09000021,Kingston upon Thames,12.6,21459,7
E01002987,Kingston upon Thames 011B,E09000021,Kingston upon Thames,18.6,15568,5
E01002988,Kingston upon Thames 011C,E09000021,Kingston upon Thames,6.7,28712,9
E01002989,Kingston upon Thames 011D,E09000021,Kingston upon Thames,8.6,26262,8
E01002990,Kingston upon Thames 009D,E09000021,Kingston upon Thames,7.6,27514,9
E01002991,Kingston upon Thames 009E,E09000021,Kingston upon Thames,7.6,27489,9
E01002992,Kingston upon Thames 010D,E09000021,Kingston upon Thames,6.6,28743,9
E01002993,Kingston upon Thames 013C,E09000021,Kingston upon Thames,10.2,24286,8
E01002994,Kingston upon Thames 016A,E09000021,Kingston upon Thames,7.9,27206,9
E01002995,Kingston upon Thames 013D,E09000021,Kingston upon Thames,5.9,29593,10
E01002996,Kingston upon Thames 016B,E09000021,Kingston upon Thames,7.6,27598,9
E01002997,Kingston upon Thames 016C,E09000021,Kingston upon Thames,8.3,26649,9
E01002998,Kingston upon Thames 016D,E09000021,Kingston upon Thames,14.4,19514,6
E01002999,Kingston upon Thames 013E,E09000021,Kingston upon Thames,14.4,19575,6
E01003000,Kingston upon Thames 017C,E09000021,Kingston upon Thames,19.4,14887,5
E01003001,Kingston upon Thames 017D,E09000021,Kingston upon Thames,12.8,21262,7
E01003002,Kingston upon Thames 016E,E09000021,Kingston upon Thames,17.5,16518,6
E01003003,Kingston upon Thames 017E,E09000021,Kingston upon Thames,15.3,18639,6
E01003004,Kingston upon Thames 018D,E09000021,Kingston upon Thames,10.9,23478,8
E01003005,Kingston upon Thames 018E,E09000021,Kingston upon Thames,7.5,27643,9
E01003006,Kingston upon Thames 001A,E09000021,Kingston upon Thames,7.8,27297,9
E01003007,Kingston upon Thames 001B,E09000021,Kingston upon Thames,4.7,30778,10
E01003008,Kingston upon Thames 001C,E09000021,Kingston upon Thames,3.2,32136,10
E01003009,Kingston upon Thames 001D,E09000021,Kingston upon Thames,9.3,25452,8
E01003010,Kingston upon Thames 001E,E09000021,Kingston upon Thames,4.3,31189,10
E01003011,Kingston upon Thames 004E,E09000021,Kingston upon Thames,6.8,28534,9
E01033568,Kingston upon Thames 004F,E09000021,Kingston upon Thames,13.1,20938,7
E01033569,Kingston upon Thames 004G,E09000021,Kingston upon Thames,9.1,25602,8
E01003013,Lambeth 036A,E09000022,Lambeth,12.3,21865,7
E01003014,Lambeth 036B,E09000022,Lambeth,26.3,10007,4
E01003015,Lambeth 002A,E09000022,Lambeth,26.7,9771,3
E01003016,Lambeth 036C,E09000022,Lambeth,13.3,20774,7
E01003017,Lambeth 036D,E09000022,Lambeth,23.4,11736,4
E01003018,Lambeth 020A,E09000022,Lambeth,22.5,12382,4
E01003019,Lambeth 015A,E09000022,Lambeth,18.8,15377,5
E01003020,Lambeth 016A,E09000022,Lambeth,24.0,11385,4
E01003021,Lambeth 021A,E09000022,Lambeth,33.3,6537,2
E01003022,Lambeth 021B,E09000022,Lambeth,20.5,13937,5
E01003023,Lambeth 021C,E09000022,Lambeth,19.3,14996,5
E01003024,Lambeth 021D,E09000022,Lambeth,31.5,7290,3
E01003025,Lambeth 021E,E09000022,Lambeth,21.7,12965,4
E01003026,Lambeth 019A,E09000022,Lambeth,17.4,16610,6
E01003027,Lambeth 019B,E09000022,Lambeth,10.1,24423,8
E01003028,Lambeth 019C,E09000022,Lambeth,19.8,14540,5
E01003029,Lambeth 017A,E09000022,Lambeth,19.2,15084,5
E01003030,Lambeth 019D,E09000022,Lambeth,16.7,17315,6
E01003031,Lambeth 023A,E09000022,Lambeth,23.6,11631,4
E01003032,Lambeth 017B,E09000022,Lambeth,31.5,7269,3
E01003033,Lambeth 019E,E09000022,Lambeth,14.9,19006,6
E01003034,Lambeth 012A,E09000022,Lambeth,18.5,15690,5
E01003035,Lambeth 012B,E09000022,Lambeth,24.9,10802,4
E01003036,Lambeth 012C,E09000022,Lambeth,24.2,11220,4
E01003037,Lambeth 013A,E09000022,Lambeth,38.3,4779,2
E01003038,Lambeth 013B,E09000022,Lambeth,14.9,18982,6
E01003039,Lambeth 013C,E09000022,Lambeth,10.6,23724,8
E01003040,Lambeth 013D,E09000022,Lambeth,21.3,13326,5
E01003041,Lambeth 017C,E09000022,Lambeth,34.7,6008,2
E01003042,Lambeth 013E,E09000022,Lambeth,26.0,10188,4
E01003043,Lambeth 018A,E09000022,Lambeth,23.7,11557,4
E01003044,Lambeth 018B,E09000022,Lambeth,43.1,3464,2
E01003045,Lambeth 011A,E09000022,Lambeth,38.8,4629,2
E01003046,Lambeth 009A,E09000022,Lambeth,33.9,6296,2
E01003047,Lambeth 011B,E09000022,Lambeth,39.6,4378,2
E01003048,Lambeth 009B,E09000022,Lambeth,37.9,4904,2
E01003049,Lambeth 011C,E09000022,Lambeth,39.7,4341,2
E01003050,Lambeth 016B,E09000022,Lambeth,27.9,9105,3
E01003051,Lambeth 018C,E09000022,Lambeth,36.3,5442,2
E01003052,Lambeth 016C,E09000022,Lambeth,40.7,4060,2
E01003053,Lambeth 015B,E09000022,Lambeth,23.2,11901,4
E01003054,Lambeth 015C,E09000022,Lambeth,21.8,12938,4
E01003055,Lambeth 016D,E09000022,Lambeth,34.1,6234,2
E01003056,Lambeth 015D,E09000022,Lambeth,29.9,8059,3
E01003057,Lambeth 017D,E09000022,Lambeth,36.6,5352,2
E01003058,Lambeth 015E,E09000022,Lambeth,24.3,11169,4
E01003059,Lambeth 011D,E09000022,Lambeth,39.2,4517,2
E01003060,Lambeth 011E,E09000022,Lambeth,36.8,5258,2
E01003061,Lambeth 011F,E09000022,Lambeth,37.9,4907,2
E01003062,Lambeth 033A,E09000022,Lambeth,22.4,12428,4
E01003063,Lambeth 033B,E09000022,Lambeth,37.7,4968,2
E01003064,Lambeth 028A,E09000022,Lambeth,12.8,21253,7
E01003065,Lambeth 031A,E09000022,Lambeth,41.1,3955,2
E01003066,Lambeth 028B,E09000022,Lambeth,37.4,5079,2
E01003067,Lambeth 033C,E09000022,Lambeth,20.5,13955,5
E01003068,Lambeth 031B,E09000022,Lambeth,28.8,8594,3
E01003069,Lambeth 033D,E09000022,Lambeth,32.7,6797,3
E01003070,Lambeth 033E,E09000022,Lambeth,43.8,3295,2
E01003071,Lambeth 018D,E09000022,Lambeth,16.1,17838,6
E01003072,Lambeth 014A,E09000022,Lambeth,16.5,17496,6
E01003073,Lambeth 014B,E09000022,Lambeth,30.2,7919,3
E01003074,Lambeth 018E,E09000022,Lambeth,24.6,11024,4
E01003075,Lambeth 009C,E09000022,Lambeth,42.6,3565,2
E01003076,Lambeth 014C,E09000022,Lambeth,18.5,15651,5
E01003077,Lambeth 014D,E09000022,Lambeth,19.6,14746,5
E01003078,Lambeth 014E,E09000022,Lambeth,10.8,23508,8
E01003079,Lambeth 027A,E09000022,Lambeth,30.8,7655,3
E01003080,Lambeth 027B,E09000022,Lambeth,18.5,15676,5
E01003081,Lambeth 028C,E09000022,Lambeth,29.7,8157,3
E01003082,Lambeth 031C,E09000022,Lambeth,30.2,7936,3
E01003083,Lambeth 030A,E09000022,Lambeth,19.7,14658,5
E01003084,Lambeth 030B,E09000022,Lambeth,19.3,14997,5
E01003085,Lambeth 030C,E09000022,Lambeth,16.4,17595,6
E01003086,Lambeth 031D,E09000022,Lambeth,31.4,7351,3
E01003087,Lambeth 031E,E09000022,Lambeth,42.5,3600,2
E01003088,Lambeth 010A,E09000022,Lambeth,32.4,6905,3
E01003089,Lambeth 008A,E09000022,Lambeth,31.4,7326,3
E01003090,Lambeth 012D,E09000022,Lambeth,25.4,10501,4
E01003091,Lambeth 008B,E09000022,Lambeth,23.4,11741,4
E01003092,Lambeth 008C,E09000022,Lambeth,36.6,5334,2
E01003093,Lambeth 010B,E09000022,Lambeth,33.3,6561,2
E01003094,Lambeth 010C,E09000022,Lambeth,30.4,7822,3
